2025-04-01 09:14:43,909 - INFO - Starting logistic regression training process
2025-04-01 09:14:43,911 - INFO - Initializing BART tokenizer
2025-04-01 09:14:45,679 - INFO - Tokenizer loaded with vocabulary size: 50265
2025-04-01 09:14:45,680 - INFO - Starting model training
2025-04-01 09:14:45,680 - INFO - Training logistic regression model with data from D:\Para-Level-Summ Data\data\data_final_1024.json
2025-04-01 09:14:45,691 - INFO - Constructing dataset
2025-04-01 09:14:45,692 - INFO - Loading data from file: D:\Para-Level-Summ Data\data\data_final_1024.json
2025-04-01 09:14:45,749 - INFO - Dataset contains 4459 articles
2025-04-01 09:14:45,766 - INFO - Data shuffled
2025-04-01 09:14:45,766 - INFO - Created feature matrix of shape (8918, 50265)
2025-04-01 09:14:45,767 - INFO - Processed 0/4459 articles
2025-04-01 09:14:45,767 - ERROR - Error processing article 0: string indices must be integers, not 'str'
2025-04-01 09:14:45,767 - ERROR - Error processing article 1: string indices must be integers, not 'str'
2025-04-01 09:14:45,767 - ERROR - Error processing article 2: string indices must be integers, not 'str'
2025-04-01 09:14:45,767 - ERROR - Error processing article 3: string indices must be integers, not 'str'
2025-04-01 09:14:45,768 - ERROR - Error processing article 4: string indices must be integers, not 'str'
2025-04-01 09:14:45,768 - ERROR - Error processing article 5: string indices must be integers, not 'str'
2025-04-01 09:14:45,768 - ERROR - Error processing article 6: string indices must be integers, not 'str'
2025-04-01 09:14:45,768 - ERROR - Error processing article 7: string indices must be integers, not 'str'
2025-04-01 09:14:45,768 - ERROR - Error processing article 8: string indices must be integers, not 'str'
2025-04-01 09:14:45,769 - ERROR - Error processing article 9: string indices must be integers, not 'str'
2025-04-01 09:14:45,769 - ERROR - Error processing article 10: string indices must be integers, not 'str'
2025-04-01 09:14:45,769 - ERROR - Error processing article 11: string indices must be integers, not 'str'
2025-04-01 09:14:45,769 - ERROR - Error processing article 12: string indices must be integers, not 'str'
2025-04-01 09:14:45,769 - ERROR - Error processing article 13: string indices must be integers, not 'str'
2025-04-01 09:14:45,770 - ERROR - Error processing article 14: string indices must be integers, not 'str'
2025-04-01 09:14:45,770 - ERROR - Error processing article 15: string indices must be integers, not 'str'
2025-04-01 09:14:45,770 - ERROR - Error processing article 16: string indices must be integers, not 'str'
2025-04-01 09:14:45,770 - ERROR - Error processing article 17: string indices must be integers, not 'str'
2025-04-01 09:14:45,770 - ERROR - Error processing article 18: string indices must be integers, not 'str'
2025-04-01 09:14:45,770 - ERROR - Error processing article 19: string indices must be integers, not 'str'
2025-04-01 09:14:45,770 - ERROR - Error processing article 20: string indices must be integers, not 'str'
2025-04-01 09:14:45,770 - ERROR - Error processing article 21: string indices must be integers, not 'str'
2025-04-01 09:14:45,772 - ERROR - Error processing article 22: string indices must be integers, not 'str'
2025-04-01 09:14:45,772 - ERROR - Error processing article 23: string indices must be integers, not 'str'
2025-04-01 09:14:45,772 - ERROR - Error processing article 24: string indices must be integers, not 'str'
2025-04-01 09:14:45,772 - ERROR - Error processing article 25: string indices must be integers, not 'str'
2025-04-01 09:14:45,772 - ERROR - Error processing article 26: string indices must be integers, not 'str'
2025-04-01 09:14:45,772 - ERROR - Error processing article 27: string indices must be integers, not 'str'
2025-04-01 09:14:45,772 - ERROR - Error processing article 28: string indices must be integers, not 'str'
2025-04-01 09:14:45,773 - ERROR - Error processing article 29: string indices must be integers, not 'str'
2025-04-01 09:14:45,773 - ERROR - Error processing article 30: string indices must be integers, not 'str'
2025-04-01 09:14:45,773 - ERROR - Error processing article 31: string indices must be integers, not 'str'
2025-04-01 09:14:45,773 - ERROR - Error processing article 32: string indices must be integers, not 'str'
2025-04-01 09:14:45,773 - ERROR - Error processing article 33: string indices must be integers, not 'str'
2025-04-01 09:14:45,773 - ERROR - Error processing article 34: string indices must be integers, not 'str'
2025-04-01 09:14:45,773 - ERROR - Error processing article 35: string indices must be integers, not 'str'
2025-04-01 09:14:45,774 - ERROR - Error processing article 36: string indices must be integers, not 'str'
2025-04-01 09:14:45,774 - ERROR - Error processing article 37: string indices must be integers, not 'str'
2025-04-01 09:14:45,774 - ERROR - Error processing article 38: string indices must be integers, not 'str'
2025-04-01 09:14:45,774 - ERROR - Error processing article 39: string indices must be integers, not 'str'
2025-04-01 09:14:45,775 - ERROR - Error processing article 40: string indices must be integers, not 'str'
2025-04-01 09:14:45,775 - ERROR - Error processing article 41: string indices must be integers, not 'str'
2025-04-01 09:14:45,775 - ERROR - Error processing article 42: string indices must be integers, not 'str'
2025-04-01 09:14:45,776 - ERROR - Error processing article 43: string indices must be integers, not 'str'
2025-04-01 09:14:45,776 - ERROR - Error processing article 44: string indices must be integers, not 'str'
2025-04-01 09:14:45,776 - ERROR - Error processing article 45: string indices must be integers, not 'str'
2025-04-01 09:14:45,776 - ERROR - Error processing article 46: string indices must be integers, not 'str'
2025-04-01 09:14:45,776 - ERROR - Error processing article 47: string indices must be integers, not 'str'
2025-04-01 09:14:45,778 - ERROR - Error processing article 48: string indices must be integers, not 'str'
2025-04-01 09:14:45,778 - ERROR - Error processing article 49: string indices must be integers, not 'str'
2025-04-01 09:14:45,778 - ERROR - Error processing article 50: string indices must be integers, not 'str'
2025-04-01 09:14:45,778 - ERROR - Error processing article 51: string indices must be integers, not 'str'
2025-04-01 09:14:45,778 - ERROR - Error processing article 52: string indices must be integers, not 'str'
2025-04-01 09:14:45,778 - ERROR - Error processing article 53: string indices must be integers, not 'str'
2025-04-01 09:14:45,779 - ERROR - Error processing article 54: string indices must be integers, not 'str'
2025-04-01 09:14:45,779 - ERROR - Error processing article 55: string indices must be integers, not 'str'
2025-04-01 09:14:45,779 - ERROR - Error processing article 56: string indices must be integers, not 'str'
2025-04-01 09:14:45,779 - ERROR - Error processing article 57: string indices must be integers, not 'str'
2025-04-01 09:14:45,780 - ERROR - Error processing article 58: string indices must be integers, not 'str'
2025-04-01 09:14:45,780 - ERROR - Error processing article 59: string indices must be integers, not 'str'
2025-04-01 09:14:45,780 - ERROR - Error processing article 60: string indices must be integers, not 'str'
2025-04-01 09:14:45,780 - ERROR - Error processing article 61: string indices must be integers, not 'str'
2025-04-01 09:14:45,781 - ERROR - Error processing article 62: string indices must be integers, not 'str'
2025-04-01 09:14:45,781 - ERROR - Error processing article 63: string indices must be integers, not 'str'
2025-04-01 09:14:45,781 - ERROR - Error processing article 64: string indices must be integers, not 'str'
2025-04-01 09:14:45,781 - ERROR - Error processing article 65: string indices must be integers, not 'str'
2025-04-01 09:14:45,781 - ERROR - Error processing article 66: string indices must be integers, not 'str'
2025-04-01 09:14:45,781 - ERROR - Error processing article 67: string indices must be integers, not 'str'
2025-04-01 09:14:45,782 - ERROR - Error processing article 68: string indices must be integers, not 'str'
2025-04-01 09:14:45,782 - ERROR - Error processing article 69: string indices must be integers, not 'str'
2025-04-01 09:14:45,782 - ERROR - Error processing article 70: string indices must be integers, not 'str'
2025-04-01 09:14:45,782 - ERROR - Error processing article 71: string indices must be integers, not 'str'
2025-04-01 09:14:45,782 - ERROR - Error processing article 72: string indices must be integers, not 'str'
2025-04-01 09:14:45,783 - ERROR - Error processing article 73: string indices must be integers, not 'str'
2025-04-01 09:14:45,783 - ERROR - Error processing article 74: string indices must be integers, not 'str'
2025-04-01 09:14:45,783 - ERROR - Error processing article 75: string indices must be integers, not 'str'
2025-04-01 09:14:45,784 - ERROR - Error processing article 76: string indices must be integers, not 'str'
2025-04-01 09:14:45,784 - ERROR - Error processing article 77: string indices must be integers, not 'str'
2025-04-01 09:14:45,784 - ERROR - Error processing article 78: string indices must be integers, not 'str'
2025-04-01 09:14:45,784 - ERROR - Error processing article 79: string indices must be integers, not 'str'
2025-04-01 09:14:45,784 - ERROR - Error processing article 80: string indices must be integers, not 'str'
2025-04-01 09:14:45,785 - ERROR - Error processing article 81: string indices must be integers, not 'str'
2025-04-01 09:14:45,785 - ERROR - Error processing article 82: string indices must be integers, not 'str'
2025-04-01 09:14:45,785 - ERROR - Error processing article 83: string indices must be integers, not 'str'
2025-04-01 09:14:45,785 - ERROR - Error processing article 84: string indices must be integers, not 'str'
2025-04-01 09:14:45,785 - ERROR - Error processing article 85: string indices must be integers, not 'str'
2025-04-01 09:14:45,786 - ERROR - Error processing article 86: string indices must be integers, not 'str'
2025-04-01 09:14:45,786 - ERROR - Error processing article 87: string indices must be integers, not 'str'
2025-04-01 09:14:45,786 - ERROR - Error processing article 88: string indices must be integers, not 'str'
2025-04-01 09:14:45,786 - ERROR - Error processing article 89: string indices must be integers, not 'str'
2025-04-01 09:14:45,786 - ERROR - Error processing article 90: string indices must be integers, not 'str'
2025-04-01 09:14:45,787 - ERROR - Error processing article 91: string indices must be integers, not 'str'
2025-04-01 09:14:45,787 - ERROR - Error processing article 92: string indices must be integers, not 'str'
2025-04-01 09:14:45,787 - ERROR - Error processing article 93: string indices must be integers, not 'str'
2025-04-01 09:14:45,787 - ERROR - Error processing article 94: string indices must be integers, not 'str'
